itemimg,listing,title,price
https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpopamie19fwOP3YTxO4eOlnIGPmODLPr7Vn35cpsZ137-Zrdvz3QXg_EQ-MTqiINXBdVdvZFHYqAC9k7rqgpXousnBwXR9-n51Y41l40A/62fx62f,https://steamcommunity.com/market/listings/730/Souvenir%20SSG%2008%20%7C%20Tropical%20Storm%20%28Well-Worn%29,Souvenir SSG 08 | Tropical Storm (Well-Worn),"
					Starting at:
$3.28 USD
$3.14 USD
"
https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpopb3wflFf0Ob3YjoXuYqJgJKCluX3O4Tdn2xZ_Isij-iWoY7wiQHn-xI4NzjyJIbBcAM3YFnT_VPtkO3uhsPttZTNzHEypGB8snpeMLkS/62fx62f,https://steamcommunity.com/market/listings/730/StatTrak%E2%84%A2%20SG%20553%20%7C%20Triarch%20%28Factory%20New%29,StatTrak™ SG 553 | Triarch (Factory New),"
					Starting at:
$4.27 USD
$4.09 USD
"
https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpotaDyfgZf0v73diRQ7cizq42Ok_7hPvXSwWgJucEm2r3HpY2m3Q2xqEI_MGqmdtCXJwdvN13UrFe_ku_qjJS_ot2XngSqw8Je/62fx62f,https://steamcommunity.com/market/listings/730/CZ75-Auto%20%7C%20Twist%20%28Well-Worn%29,CZ75-Auto | Twist (Well-Worn),"
					Starting at:
$0.89 USD
$0.86 USD
"
https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpopujwezhoyszadDlK6cSJmImMn-O6Y-KIxjID68Z337-VptX30QbmqUZtZm_6d9OddVA8N1HQ8gDskr3ujIj84srOo3RmYw/62fx62f,https://steamcommunity.com/market/listings/730/StatTrak%E2%84%A2%20P250%20%7C%20Hive%20%28Minimal%20Wear%29,StatTrak™ P250 | Hive (Minimal Wear),"
					Starting at:
$3.86 USD
$3.70 USD
"
https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpopbmkOVUw7PvRTipH7s-JkIGZnPLmDLfYkWNFpp102r_ErdutiwbmqUtuMG-hdoeVdgNoY16F-wPsku_mh5Dq7cian3B9-n51JZMMtxo/62fx62f,https://steamcommunity.com/market/listings/730/SCAR-20%20%7C%20Crimson%20Web%20%28Minimal%20Wear%29,SCAR-20 | Crimson Web (Minimal Wear),"
					Starting at:
$2.32 USD
$2.22 USD
"
https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpot621FABz7PLfYQJH9NOln4WHkuP7PYTdn2xZ_IsmiL7ArY3z3ge18xBsZTumddXAIwE6aFyB_lDvlb271JPoucyfnSZrpGB8sg7lIRJQ/62fx62f,https://steamcommunity.com/market/listings/730/StatTrak%E2%84%A2%20AWP%20%7C%20Exoskeleton%20%28Minimal%20Wear%29,StatTrak™ AWP | Exoskeleton (Minimal Wear),"
					Starting at:
$8.64 USD
$8.27 USD
"
https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpot7HxfDhjxszJemkV09-5gZKKkPLLMrfFqWNU6dNoxL3H94qm3Ffm_RE6amn2ctWXdlI2ZwqB-FG_w-7s0ZK-7cjLzyE37HI8pSGKrIDGOAI/62fx62f,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Aquamarine%20Revenge%20%28Battle-Scarred%29,AK-47 | Aquamarine Revenge (Battle-Scarred),"
					Starting at:
$17.32 USD
$16.57 USD
"
https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpos7asPwJf1OD3dShD4OOzmImfkuTLMLfQhXhY6_p9g-7J4cL00A3tqhdlNWumJdTHegM8Yw6ErwO-w-y8jJ_vupmay3ZmvCgg4yvcgVXp1kydJNnp/62fx62f,https://steamcommunity.com/market/listings/730/StatTrak%E2%84%A2%20Dual%20Berettas%20%7C%20Elite%201.6%20%28Factory%20New%29,StatTrak™ Dual Berettas | Elite 1.6 (Factory New),"
					Starting at:
$1.34 USD
$1.29 USD
"
https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgposbaqKAxf0Ob3djFN79eJnY6PnvD7DLfYkWNFppYm0r_Coo-milHjr0NvNjzzIYWVdwZvN1qG_QC2xezogp6-u5nLnHN9-n516M620HI/62fx62f,https://steamcommunity.com/market/listings/730/StatTrak%E2%84%A2%20Glock-18%20%7C%20Off%20World%20%28Factory%20New%29,StatTrak™ Glock-18 | Off World (Factory New),"
					Starting at:
$3.70 USD
$3.54 USD
"
https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpopL-zJAt21uH3Yi19_8yklZm0gPbgNqnum25V4dB8xL6XoI2lilWw_xJvMTqmIIbAIw45YlDQqQe8x7y8hJ696p-fnHFn6CU8pSGKSyfeR1Y/62fx62f,https://steamcommunity.com/market/listings/730/R8%20Revolver%20%7C%20Canal%20Spray%20%28Well-Worn%29,R8 Revolver | Canal Spray (Well-Worn),"
					Starting at:
$0.88 USD
$0.85 USD
"
